date,website_traffic,conversion_rate,average_order_value,ad_spend,refund_rate,orders,revenue,new_customers,returning_customers,customer_acquisition_cost,gross_profit,profit_margin
2023-02-01,5498,0.0216,75.61,1040.68,0.0428,118,8921.99,78,40,13.34,5353.19,0.6
2023-02-02,5129,0.0277,87.8,988.66,0.0272,142,12467.66,103,39,9.6,7480.6,0.6
2023-02-03,4924,0.0248,74.52,1023.99,0.0309,121,9016.88,89,32,11.51,5410.13,0.6
2023-02-04,4504,0.0275,80.75,1044.46,0.0377,123,9931.8,84,39,12.43,5959.08,0.6
2023-02-05,4100,0.0218,71.48,1044.91,0.04,89,6362.09,62,27,16.85,3817.25,0.6
2023-02-06,5190,0.0238,74.83,1050.77,0.0403,123,9203.48,83,40,12.66,5522.09,0.6
2023-02-07,4760,0.025,83.85,1111.18,0.036,119,9978.63,83,36,13.39,5987.18,0.6
2023-02-08,4890,0.0251,71.87,1054.0,0.0351,122,8767.55,84,38,12.55,5260.53,0.6
2023-02-09,5200,0.0241,84.06,1019.94,0.033,125,10507.78,87,38,11.72,6304.67,0.6
2023-02-10,5312,0.0262,78.54,1081.17,0.0339,139,10916.89,98,41,11.03,6550.13,0.6
2023-02-11,4403,0.0229,72.19,1093.26,0.0272,100,7218.77,67,33,16.32,4331.26,0.6
2023-02-12,4349,0.0247,78.16,973.23,0.0259,107,8363.34,74,33,13.15,5018.0,0.6
2023-02-13,5116,0.0252,79.86,1065.31,0.03,129,10302.3,85,44,12.53,6181.38,0.6
2023-02-14,4885,0.026,78.11,1071.32,0.0291,127,9919.85,87,40,12.31,5951.91,0.6
2023-02-15,5041,0.0264,67.15,1022.21,0.0277,133,8930.8,92,41,11.11,5358.48,0.6
2023-02-16,5097,0.0228,71.36,1106.7,0.0335,115,8206.9,81,34,13.66,4924.14,0.6
2023-02-17,5405,0.0219,73.76,1031.23,0.0348,118,8703.96,83,35,12.42,5222.38,0.6
2023-02-18,4466,0.0276,74.63,1045.84,0.0304,123,9179.22,88,35,11.88,5507.53,0.6
2023-02-19,4049,0.0257,78.1,1031.73,0.0374,103,8044.65,68,35,15.17,4826.79,0.6
2023-02-20,5270,0.0235,75.89,1041.99,0.0243,123,9334.29,82,41,12.71,5600.57,0.6
2023-02-21,5133,0.0281,68.32,987.22,0.029,144,9838.55,102,42,9.68,5903.13,0.6
2023-02-22,5078,0.0252,76.9,970.85,0.0264,128,9843.33,84,44,11.56,5906.0,0.6
2023-02-23,5340,0.0274,78.05,1123.41,0.0207,146,11395.73,102,44,11.01,6837.44,0.6
2023-02-24,5428,0.0251,77.8,1002.16,0.0296,136,10580.66,91,45,11.01,6348.39,0.6
2023-02-25,4612,0.0291,80.4,995.76,0.0294,134,10774.12,98,36,10.16,6464.47,0.6
2023-02-26,4262,0.0285,79.17,938.48,0.0376,121,9579.52,85,36,11.04,5747.71,0.6
2023-02-27,5173,0.0245,77.3,1015.03,0.0332,126,9739.28,87,39,11.67,5843.57,0.6
2023-02-28,5305,0.0269,74.65,981.65,0.0249,142,10600.18,102,40,9.62,6360.11,0.6
2023-03-01,5438,0.0263,66.7,1130.73,0.0393,142,9470.72,96,46,11.78,5682.43,0.6
2023-03-02,5151,0.0277,77.15,1099.94,0.0361,142,10955.03,96,46,11.46,6573.02,0.6
2023-03-03,5214,0.0231,76.04,1015.87,0.0329,120,9124.61,80,40,12.7,5474.77,0.6
2023-03-04,4234,0.0264,76.36,1163.72,0.0289,111,8475.73,75,36,15.52,5085.44,0.6
2023-03-05,4220,0.0271,68.62,1101.01,0.0252,114,7822.25,79,35,13.94,4693.35,0.6
2023-03-06,5426,0.0215,69.59,1036.51,0.0281,116,8072.99,82,34,12.64,4843.79,0.6
2023-03-07,5539,0.0226,80.27,928.6,0.0354,125,10033.22,89,36,10.43,6019.93,0.6
2023-03-08,5257,0.0209,74.8,1168.94,0.0394,109,8153.44,72,37,16.24,4892.07,0.6
2023-03-09,5476,0.0245,78.41,985.74,0.0377,133,10428.2,92,41,10.71,6256.92,0.6
2023-03-10,11087,0.0128,75.14,973.77,0.0276,141,10594.96,95,46,10.25,6356.98,0.6
2023-03-11,8470,0.0118,75.15,1108.0,0.0244,100,7514.88,69,31,16.06,4508.93,0.6
2023-03-12,9292,0.0119,79.69,1179.68,0.0307,110,8766.06,82,28,14.39,5259.63,0.6
2023-03-13,10103,0.0126,72.42,1127.73,0.0212,126,9124.89,88,38,12.82,5474.94,0.6
2023-03-14,10867,0.0072,75.48,1087.54,0.0316,78,5887.49,56,22,19.42,3532.49,0.6
2023-03-15,5613,0.0216,72.69,1089.9,0.0293,121,8795.32,89,32,12.25,5277.19,0.6
2023-03-16,4780,0.0249,72.83,1103.66,0.0277,118,8593.65,85,33,12.98,5156.19,0.6
2023-03-17,5473,0.0258,73.45,1099.76,0.022,141,10357.03,97,44,11.34,6214.22,0.6
2023-03-18,4530,0.0249,76.11,1076.7,0.0326,112,8524.39,75,37,14.36,5114.64,0.6
2023-03-19,4457,0.0209,72.61,1068.67,0.0273,93,6752.38,65,28,16.44,4051.43,0.6
2023-03-20,5339,0.0248,81.28,1061.16,0.0242,132,10728.8,90,42,11.79,6437.28,0.6
2023-03-21,4928,0.0224,70.53,1027.41,0.0156,110,7757.97,73,37,14.07,4654.78,0.6
2023-03-22,5285,0.0263,74.07,1051.9,0.0299,139,10295.12,97,42,10.84,6177.07,0.6
2023-03-23,5405,0.0257,72.8,982.11,0.0389,139,10119.39,98,41,10.02,6071.63,0.6
2023-03-24,5633,0.0231,82.23,1062.67,0.0383,130,10690.54,95,35,11.19,6414.32,0.6
2023-03-25,4438,0.024,75.98,1018.98,0.0277,106,8054.17,73,33,13.96,4832.5,0.6
2023-03-26,4384,0.0229,80.16,1014.05,0.027,100,8015.92,70,30,14.49,4809.55,0.6
2023-03-27,5249,0.0249,67.57,1079.05,0.0323,130,8784.39,89,41,12.12,5270.63,0.6
2023-03-28,5537,0.0269,76.34,1140.48,0.025,149,11373.95,106,43,10.76,6824.37,0.6
2023-03-29,5424,0.023,79.45,1117.62,0.0315,124,9851.57,86,38,13.0,5910.94,0.6
2023-03-30,5256,0.026,75.41,994.0,0.0338,136,10255.95,92,44,10.8,6153.57,0.6
2023-03-31,5469,0.0239,80.33,1023.87,0.0361,130,10442.56,90,40,11.38,6265.54,0.6
2023-04-01,4590,0.0234,72.41,1121.21,0.0295,107,7748.25,75,32,14.95,4648.95,0.6
2023-04-02,4768,0.0248,82.05,1025.88,0.029,118,9681.51,83,35,12.36,5808.91,0.6
2023-04-03,5238,0.0229,86.49,1064.59,0.0256,120,10379.34,86,34,12.38,6227.6,0.6
2023-04-04,5317,0.0239,73.19,1104.15,0.0259,127,9294.6,85,42,12.99,5576.76,0.6
2023-04-05,5308,0.0226,72.77,1029.06,0.0289,120,8732.7,81,39,12.7,5239.62,0.6
2023-04-06,5098,0.0289,82.27,1083.57,0.0318,147,12093.24,104,43,10.42,7255.94,0.6
2023-04-07,5454,0.0251,82.9,1012.42,0.0346,136,11274.11,93,43,10.89,6764.47,0.6
2023-04-08,4651,0.0236,72.39,1049.88,0.026,109,7890.04,76,33,13.81,4734.02,0.6
2023-04-09,4604,0.0254,72.9,1096.76,0.0375,117,8529.19,76,41,14.43,5117.51,0.6
2023-04-10,5361,0.0248,73.59,1001.94,0.0286,132,9714.02,99,33,10.12,5828.41,0.6
2023-04-11,5129,0.0246,68.28,1104.44,0.0299,125,8534.72,86,39,12.84,5120.83,0.6
2023-04-12,5332,0.0262,70.41,1082.26,0.0263,139,9786.54,100,39,10.82,5871.92,0.6
2023-04-13,5351,0.0265,69.98,1111.69,0.0179,141,9867.08,97,44,11.46,5920.25,0.6
2023-04-14,5263,0.0239,71.16,1096.09,0.0344,126,8966.29,89,37,12.32,5379.77,0.6
2023-04-15,4596,0.0238,74.83,1153.92,0.0337,109,8156.1,79,30,14.61,4893.66,0.6
2023-04-16,4713,0.0244,76.17,1092.8,0.0286,115,8759.67,83,32,13.17,5255.8,0.6
2023-04-17,5814,0.0204,82.75,1065.89,0.0303,118,9764.8,82,36,13.0,5858.88,0.6
2023-04-18,5475,0.022,70.01,1094.3,0.0326,120,8400.99,83,37,13.18,5040.59,0.6
2023-04-19,5496,0.0277,79.92,1116.18,0.0222,152,12148.09,109,43,10.24,7288.85,0.6
2023-04-20,5434,0.0283,73.93,1092.28,0.0274,153,11311.3,114,39,9.58,6786.78,0.6
2023-04-21,5069,0.0245,74.75,1092.69,0.034,124,9269.33,87,37,12.56,5561.6,0.6
2023-04-22,4652,0.0262,78.37,1056.38,0.0237,121,9483.27,89,32,11.87,5689.96,0.6
2023-04-23,4673,0.0256,69.39,1059.16,0.0315,119,8256.98,82,37,12.92,4954.19,0.6
2023-04-24,5958,0.0312,76.91,1023.0,0.0232,185,14228.73,133,52,7.69,8537.24,0.6
2023-04-25,5431,0.0272,75.83,1181.43,0.0323,147,11147.34,106,41,11.15,6688.41,0.6
2023-04-26,5534,0.0247,77.46,1032.59,0.0298,136,10534.87,94,42,10.98,6320.92,0.6
2023-04-27,5471,0.0231,76.45,1060.96,0.0219,126,9632.18,86,40,12.34,5779.31,0.6
2023-04-28,5248,0.0218,87.28,1060.51,0.0358,114,9949.52,82,32,12.93,5969.71,0.6
2023-04-29,4914,0.0254,71.81,1142.0,0.0263,124,8904.6,85,39,13.44,5342.76,0.6
2023-04-30,4840,0.0235,72.35,1083.33,0.0259,113,8174.99,77,36,14.07,4904.99,0.6
2023-05-01,5652,0.0222,71.88,1161.29,0.031,125,8985.54,85,40,13.66,5391.32,0.6
2023-05-02,5316,0.0237,72.22,1066.05,0.0357,126,9100.05,86,40,12.4,5460.03,0.6
2023-05-03,5783,0.0228,71.81,1114.5,0.0249,132,9479.32,94,38,11.86,5687.59,0.6
2023-05-04,5226,0.0284,80.95,1059.61,0.0303,148,11979.87,105,43,10.09,7187.92,0.6
2023-05-05,5628,0.0268,82.1,1209.46,0.0321,150,12315.38,107,43,11.3,7389.23,0.6
2023-05-06,5153,0.025,72.15,1043.64,0.0335,128,9234.72,90,38,11.6,5540.83,0.6
2023-05-07,4521,0.028,70.84,1119.34,0.0309,126,8925.62,86,40,13.02,5355.37,0.6
2023-05-08,5410,0.0252,77.36,1136.36,0.0282,136,10520.56,97,39,11.72,6312.34,0.6
2023-05-09,5547,0.0233,72.24,1126.18,0.0259,129,9318.82,93,36,12.11,5591.29,0.6
2023-05-10,5430,0.028,78.16,1097.05,0.0304,152,11881.03,108,44,10.16,7128.62,0.6
2023-05-11,5225,0.0261,76.01,1100.65,0.0246,136,10337.99,96,40,11.47,6202.79,0.6
2023-05-12,5553,0.0229,67.42,1110.16,0.0154,127,8562.5,86,41,12.91,5137.5,0.6
2023-05-13,4531,0.0246,82.74,1101.44,0.0322,111,9183.87,78,33,14.12,5510.32,0.6
2023-05-14,4842,0.0232,83.98,1157.81,0.0345,112,9405.69,76,36,15.23,5643.41,0.6
2023-05-15,5368,0.0222,71.94,1220.97,0.0182,119,8560.39,83,36,14.71,5136.23,0.6
2023-05-16,5866,0.0269,73.06,1083.39,0.025,157,11470.65,104,53,10.42,6882.39,0.6
2023-05-17,5403,0.0288,76.43,1043.6,0.0331,155,11846.55,103,52,10.13,7107.93,0.6
2023-05-18,5500,0.0222,76.67,1108.5,0.0403,122,9354.02,84,38,13.2,5612.41,0.6
2023-05-19,5731,0.0261,78.29,1242.72,0.0301,149,11665.62,102,47,12.18,6999.37,0.6
2023-05-20,4526,0.0237,85.05,1074.38,0.0264,107,9100.46,75,32,14.33,5460.28,0.6
2023-05-21,4822,0.024,74.12,1197.34,0.0291,115,8523.26,80,35,14.97,5113.95,0.6
2023-05-22,5842,0.0238,71.01,1200.09,0.0369,139,9870.18,97,42,12.37,5922.11,0.6
2023-05-23,5263,0.0233,68.1,1089.35,0.0268,122,8308.62,86,36,12.67,4985.17,0.6
2023-05-24,5626,0.0251,71.35,1146.31,0.026,141,10059.69,97,44,11.82,6035.82,0.6
2023-05-25,5645,0.0233,74.83,1200.1,0.0276,131,9803.3,91,40,13.19,5881.98,0.6
2023-05-26,5753,0.0255,83.97,1100.55,0.0252,146,12260.03,106,40,10.38,7356.02,0.6
2023-05-27,4554,0.0249,72.41,1110.15,0.0306,113,8182.55,79,34,14.05,4909.53,0.6
2023-05-28,4541,0.0245,76.12,1092.07,0.0381,111,8449.2,77,34,14.18,5069.52,0.6
2023-05-29,5714,0.0232,74.92,1071.24,0.0316,132,9889.16,92,40,11.64,5933.5,0.6
2023-05-30,5673,0.0238,80.94,1090.34,0.0287,135,10927.17,94,41,11.6,6556.3,0.6
2023-05-31,5668,0.0265,87.63,1062.43,0.0285,150,13145.2,102,48,10.42,7887.12,0.6
2023-06-01,5691,0.026,72.35,1126.15,0.0222,147,10634.81,99,48,11.38,6380.89,0.6
2023-06-02,5490,0.023,72.55,1086.78,0.0344,126,9141.65,86,40,12.64,5484.99,0.6
2023-06-03,4876,0.0252,80.22,1137.79,0.0296,122,9786.94,87,35,13.08,5872.16,0.6
2023-06-04,4893,0.0265,78.41,1049.13,0.0291,129,10114.82,88,41,11.92,6068.89,0.6
2023-06-05,5495,0.0217,84.23,1144.29,0.046,119,10023.79,82,37,13.95,6014.27,0.6
2023-06-06,6016,0.0261,77.92,1170.25,0.0315,156,12155.46,111,45,10.54,7293.28,0.6
2023-06-07,5741,0.0237,73.2,1029.71,0.0262,135,9882.48,93,42,11.07,5929.49,0.6
2023-06-08,5412,0.0261,77.95,1148.92,0.0279,141,10991.41,100,41,11.49,6594.85,0.6
2023-06-09,5786,0.0235,80.54,1192.43,0.0357,135,10873.37,90,45,13.25,6524.02,0.6
2023-06-10,4664,0.0214,79.1,1071.39,0.0306,99,7831.14,69,30,15.53,4698.68,0.6
2023-06-11,5020,0.0217,77.54,1216.32,0.0228,109,8451.46,76,33,16.0,5070.88,0.6
2023-06-12,5899,0.0251,80.33,1154.47,0.0346,148,11889.34,103,45,11.21,7133.6,0.6
2023-06-13,5507,0.0255,80.85,1099.09,0.0267,140,11318.51,93,47,11.82,6791.1,0.6
2023-06-14,5868,0.0232,81.91,1132.38,0.0394,136,11139.87,98,38,11.55,6683.92,0.6
2023-06-15,5762,0.005,78.24,1163.91,0.0354,28,2190.82,19,9,61.26,1314.49,0.6
2023-06-16,5848,0.0023,74.16,1140.61,0.0278,13,964.14,9,4,126.73,578.48,0.6
2023-06-17,5267,0.0038,75.73,1164.58,0.0364,20,1514.67,14,6,83.18,908.8,0.6
2023-06-18,4843,0.0026,81.03,1092.43,0.0303,12,972.39,8,4,136.55,583.43,0.6
2023-06-19,5545,0.0237,70.92,1147.75,0.0343,131,9289.91,97,34,11.83,5573.94,0.6
2023-06-20,5522,0.0251,76.84,1069.42,0.0324,138,10604.38,93,45,11.5,6362.63,0.6
2023-06-21,5541,0.0233,73.03,1135.37,0.0258,129,9421.3,88,41,12.9,5652.78,0.6
2023-06-22,5693,0.0242,75.14,1096.56,0.0268,137,10294.69,96,41,11.42,6176.81,0.6
2023-06-23,5781,0.027,81.39,1105.81,0.0351,156,12697.19,105,51,10.53,7618.32,0.6
2023-06-24,4972,0.0238,75.96,1205.21,0.0283,118,8962.75,84,34,14.35,5377.65,0.6
2023-06-25,5086,0.0267,75.23,1198.8,0.028,135,10156.34,96,39,12.49,6093.81,0.6
2023-06-26,5727,0.0227,68.2,1175.51,0.0252,130,8866.09,92,38,12.78,5319.66,0.6
2023-06-27,6020,0.0261,78.73,1091.26,0.0321,156,12282.08,109,47,10.01,7369.25,0.6
2023-06-28,5680,0.0279,78.23,1130.88,0.0403,158,12359.93,114,44,9.92,7415.96,0.6
2023-06-29,6281,0.0201,85.82,1208.18,0.0247,125,10727.03,84,41,14.38,6436.22,0.6
2023-06-30,5866,0.0234,73.46,1155.44,0.0301,137,10064.17,96,41,12.04,6038.5,0.6
2023-07-01,4774,0.0262,76.1,1265.14,0.0371,124,9435.87,84,40,15.06,5661.52,0.6
2023-07-02,4735,0.0246,76.25,1169.67,0.0296,116,8844.64,83,33,14.09,5306.79,0.6
2023-07-03,5850,0.0257,82.89,1160.43,0.0323,150,12433.09,99,51,11.72,7459.85,0.6
2023-07-04,5713,0.0238,74.52,1136.19,0.0247,135,10060.68,94,41,12.09,6036.41,0.6
2023-07-05,5905,0.0252,76.4,1159.15,0.0321,148,11306.48,104,44,11.15,6783.89,0.6
2023-07-06,5861,0.0247,78.04,1145.67,0.0291,144,11237.69,98,46,11.69,6742.61,0.6
2023-07-07,5756,0.0273,75.93,1189.53,0.0349,157,11921.49,107,50,11.12,7152.89,0.6
2023-07-08,4805,0.0255,72.77,1202.78,0.0359,122,8877.68,85,37,14.15,5326.61,0.6
2023-07-09,4675,0.0257,75.97,1116.47,0.0429,120,9116.45,86,34,12.98,5469.87,0.6
2023-07-10,5693,0.0242,80.37,1090.03,0.0329,137,11010.44,93,44,11.72,6606.26,0.6
2023-07-11,5958,0.024,69.87,1065.61,0.0316,143,9991.04,97,46,10.99,5994.62,0.6
2023-07-12,5834,0.0241,75.66,1183.64,0.031,140,10593.08,101,39,11.72,6355.85,0.6
2023-07-13,5546,0.0258,71.5,1103.9,0.0282,143,10224.41,99,44,11.15,6134.65,0.6
2023-07-14,5834,0.0242,80.98,1052.25,0.0317,140,11336.53,95,45,11.08,6801.92,0.6
2023-07-15,5080,0.0256,67.38,1180.14,0.0285,129,8692.54,92,37,12.83,5215.53,0.6
2023-07-16,4830,0.0292,72.21,1286.19,0.0308,140,10108.75,96,44,13.4,6065.25,0.6
2023-07-17,5842,0.0267,76.89,1162.06,0.0366,156,11994.23,112,44,10.38,7196.54,0.6
2023-07-18,5827,0.0243,82.83,1205.11,0.025,141,11678.69,96,45,12.55,7007.22,0.6
2023-07-19,5591,0.0274,74.67,1168.1,0.0357,153,11424.7,106,47,11.02,6854.82,0.6
2023-07-20,5895,0.0242,72.22,1159.89,0.0366,142,10255.81,102,40,11.37,6153.49,0.6
2023-07-21,5940,0.0209,84.41,1211.61,0.0294,124,10466.32,86,38,14.09,6279.79,0.6
2023-07-22,5249,0.023,67.76,1151.97,0.0194,120,8131.19,85,35,13.55,4878.71,0.6
2023-07-23,5247,0.0213,64.01,1180.68,0.027,111,7104.66,77,34,15.33,4262.8,0.6
2023-07-24,5565,0.0243,77.2,1184.22,0.0365,135,10422.01,99,36,11.96,6253.21,0.6
2023-07-25,5657,0.025,72.49,1135.55,0.0299,141,10221.05,103,38,11.02,6132.63,0.6
2023-07-26,5951,0.0284,69.89,1219.38,0.025,168,11742.16,113,55,10.79,7045.3,0.6
2023-07-27,5955,0.0257,78.54,1161.86,0.0275,152,11938.35,107,45,10.86,7163.01,0.6
2023-07-28,5960,0.0246,76.22,1133.64,0.0342,146,11127.97,99,47,11.45,6676.78,0.6
2023-07-29,5831,0.0267,72.18,1199.08,0.0327,155,11187.84,109,46,11.0,6712.7,0.6
2023-07-30,5179,0.0206,68.6,1128.15,0.0288,106,7271.44,74,32,15.25,4362.86,0.6
2023-07-31,6096,0.0255,79.36,1175.31,0.0282,155,12301.15,105,50,11.19,7380.69,0.6
2023-08-01,6064,0.0265,78.25,1174.27,0.028,160,12520.16,115,45,10.21,7512.1,0.6
2023-08-02,6008,0.022,74.5,1229.84,0.0254,132,9834.54,92,40,13.37,5900.73,0.6
2023-08-03,5818,0.0273,84.23,1200.11,0.0381,158,13308.84,109,49,11.01,7985.31,0.6
2023-08-04,6037,0.0257,69.65,1175.95,0.0284,155,10795.68,107,48,10.99,6477.41,0.6
2023-08-05,4935,0.0242,67.37,1218.91,0.0361,119,8017.31,83,36,14.69,4810.39,0.6
2023-08-06,5046,0.0263,71.54,1248.36,0.0376,132,9443.34,93,39,13.42,5666.0,0.6
2023-08-07,5801,0.0295,74.77,1207.56,0.035,171,12786.02,119,52,10.15,7671.61,0.6
2023-08-08,5918,0.0254,76.22,1181.01,0.0278,150,11432.5,96,54,12.3,6859.5,0.6
2023-08-09,6369,0.0255,73.79,1115.73,0.032,162,11954.6,113,49,9.87,7172.76,0.6
2023-08-10,5537,0.0241,76.76,1128.89,0.0299,133,10209.12,89,44,12.68,6125.47,0.6
2023-08-11,6052,0.0233,68.74,1167.71,0.0255,141,9692.66,98,43,11.92,5815.6,0.6
2023-08-12,4796,0.0267,82.22,1153.32,0.0316,127,10441.79,85,42,13.57,6265.07,0.6
2023-08-13,5028,0.0233,74.59,1175.27,0.0241,117,8726.94,78,39,15.07,5236.16,0.6
2023-08-14,6144,0.0251,80.59,1188.27,0.0359,154,12410.32,111,43,10.71,7446.19,0.6
2023-08-15,5944,0.024,76.71,1212.75,0.0277,142,10893.33,98,44,12.37,6536.0,0.6
2023-08-16,5719,0.026,77.28,1183.56,0.031,148,11438.0,102,46,11.6,6862.8,0.6
2023-08-17,5796,0.0257,77.85,1212.24,0.0314,148,11521.63,105,43,11.55,6912.98,0.6
2023-08-18,6079,0.0271,77.24,1191.96,0.0287,164,12667.12,113,51,10.55,7600.27,0.6
2023-08-19,5001,0.024,78.21,1090.79,0.0329,119,9307.42,88,31,12.4,5584.45,0.6
2023-08-20,5195,0.0245,81.65,1143.42,0.0276,127,10369.01,88,39,12.99,6221.41,0.6
2023-08-21,5965,0.023,75.98,1184.0,0.0344,137,10409.62,96,41,12.33,6245.77,0.6
2023-08-22,5829,0.0241,78.55,1131.55,0.0233,140,10996.3,100,40,11.32,6597.78,0.6
2023-08-23,6393,0.0258,74.55,1222.85,0.0306,164,12226.42,120,44,10.19,7335.85,0.6
2023-08-24,6095,0.0265,82.2,1270.22,0.0397,161,13234.29,110,51,11.55,7940.58,0.6
2023-08-25,5567,0.0232,71.62,1255.44,0.025,128,9167.11,88,40,14.27,5500.27,0.6
2023-08-26,5213,0.0267,84.0,1184.66,0.0266,139,11676.65,100,39,11.85,7005.99,0.6
2023-08-27,5048,0.0277,74.8,1270.69,0.0326,139,10397.09,99,40,12.84,6238.25,0.6
2023-08-28,6155,0.0258,67.85,1204.41,0.0309,158,10719.69,113,45,10.66,6431.81,0.6
2023-08-29,5830,0.0288,75.64,1180.95,0.0318,167,12631.97,112,55,10.54,7579.18,0.6
2023-08-30,5970,0.0235,71.59,1167.96,0.0324,140,10023.26,102,38,11.45,6013.96,0.6
2023-08-31,6098,0.0225,79.2,1184.33,0.0332,137,10850.84,93,44,12.73,6510.5,0.6
2023-09-01,6174,0.0214,71.74,1180.87,0.0355,132,9469.27,92,40,12.84,5681.56,0.6
2023-09-02,4965,0.028,72.77,1209.62,0.032,138,10042.13,96,42,12.6,6025.28,0.6
2023-09-03,5142,0.0263,65.55,1209.95,0.0288,135,8849.56,92,43,13.15,5309.74,0.6
2023-09-04,5918,0.0249,72.74,1202.9,0.0334,147,10692.55,98,49,12.27,6415.53,0.6
2023-09-05,5887,0.0256,62.88,3070.72,0.0395,150,9432.09,99,51,31.02,5659.25,0.6
2023-09-06,6375,0.0227,67.08,3426.53,0.0293,145,9726.67,101,44,33.93,5836.0,0.6
2023-09-07,6107,0.0299,78.8,3316.54,0.0251,182,14341.98,121,61,27.41,8605.19,0.6
2023-09-08,5778,0.0253,78.93,3104.53,0.0355,145,11444.71,98,47,31.68,6866.82,0.6
2023-09-09,5417,0.0252,77.13,3009.38,0.0294,136,10489.31,94,42,32.01,6293.59,0.6
2023-09-10,5662,0.0265,70.17,1254.41,0.0191,149,10454.6,96,53,13.07,6272.76,0.6
2023-09-11,6249,0.026,74.76,1140.17,0.0342,162,12111.35,115,47,9.91,7266.81,0.6
2023-09-12,5742,0.0254,74.98,1198.1,0.0273,146,10947.37,95,51,12.61,6568.42,0.6
2023-09-13,5953,0.0234,69.21,1151.66,0.0295,139,9619.94,97,42,11.87,5771.96,0.6
2023-09-14,6308,0.0259,82.52,1120.89,0.0317,163,13450.27,114,49,9.83,8070.16,0.6
2023-09-15,5917,0.0288,79.39,1238.89,0.031,170,13495.76,120,50,10.32,8097.45,0.6
2023-09-16,5351,0.0277,73.9,1250.6,0.0335,148,10936.49,103,45,12.14,6561.89,0.6
2023-09-17,5422,0.0282,75.13,1184.64,0.0278,152,11420.43,112,40,10.58,6852.26,0.6
2023-09-18,5886,0.024,76.04,1084.73,0.0326,141,10721.91,99,42,10.96,6433.15,0.6
2023-09-19,6063,0.023,64.79,1187.8,0.0287,139,9005.99,100,39,11.88,5403.6,0.6
2023-09-20,5431,0.0247,73.76,1235.52,0.0337,134,9884.39,91,43,13.58,5930.63,0.6
