date,website_traffic,conversion_rate,average_order_value,ad_spend,refund_rate,orders,revenue,new_customers,returning_customers,customer_acquisition_cost,gross_profit,profit_margin,revenue_growth_dod,orders_growth_dod,traffic_growth_dod,revenue_7d_avg,conversion_7d_avg
2023-03-08,5257,0.0209,74.8,1168.94,0.0394,109,8153.44,72,37,16.24,4892.07,0.6,-0.1873556046812489,-0.128,-0.05091171691641094,8948.18142857143,0.024185714285714286
2023-03-09,5476,0.0245,78.41,985.74,0.0377,133,10428.2,92,41,10.71,6256.92,0.6,0.27899389705449495,0.22018348623853212,0.04165874072665021,8872.92,0.02372857142857143
2023-03-10,11087,0.0128,75.14,973.77,0.0276,141,10594.96,95,46,10.25,6356.98,0.6,0.015991254483036288,0.06015037593984962,1.0246530314097884,9082.97,0.02225714285714286
2023-03-11,8470,0.0118,75.15,1108.0,0.0244,100,7514.88,69,31,16.06,4508.93,0.6,-0.29071181014369085,-0.2907801418439716,-0.23604221159917016,8945.705714285714,0.02017142857142857
2023-03-12,9292,0.0119,79.69,1179.68,0.0307,110,8766.06,82,28,14.39,5259.63,0.6,0.16649367654573322,0.10000000000000009,0.09704840613931531,9080.535714285714,0.018
2023-03-13,10103,0.0126,72.42,1127.73,0.0212,126,9124.89,88,38,12.82,5474.94,0.6,0.040934011403070514,0.1454545454545455,0.08727938011192427,9230.807142857142,0.01672857142857143
2023-03-14,10867,0.0072,75.48,1087.54,0.0316,78,5887.49,56,22,19.42,3532.49,0.6,-0.3547878385383275,-0.38095238095238093,0.07562110264277933,8638.56,0.014528571428571429
2023-03-15,5613,0.0216,72.69,1089.9,0.0293,121,8795.32,89,32,12.25,5277.19,0.6,0.49389977732446266,0.5512820512820513,-0.48348210177601914,8730.257142857143,0.01462857142857143
2023-03-16,4780,0.0249,72.83,1103.66,0.0277,118,8593.65,85,33,12.98,5156.19,0.6,-0.022929239641081844,-0.024793388429752095,-0.14840548726171388,8468.17857142857,0.014685714285714286
2023-03-17,5473,0.0258,73.45,1099.76,0.022,141,10357.03,97,44,11.34,6214.22,0.6,0.20519569682265404,0.19491525423728806,0.144979079497908,8434.18857142857,0.016542857142857144
2023-03-18,4530,0.0249,76.11,1076.7,0.0326,112,8524.39,75,37,14.36,5114.64,0.6,-0.17694647983060796,-0.2056737588652482,-0.1723003837018089,8578.404285714285,0.018414285714285713
2023-03-19,4457,0.0209,72.61,1068.67,0.0273,93,6752.38,65,28,16.44,4051.43,0.6,-0.20787528491774776,-0.1696428571428571,-0.01611479028697571,8290.735714285714,0.0197
2023-03-20,5339,0.0248,81.28,1061.16,0.0242,132,10728.8,90,42,11.79,6437.28,0.6,0.5888916204360535,0.4193548387096775,0.19789095804352708,8519.865714285714,0.021442857142857145
2023-03-21,4928,0.0224,70.53,1027.41,0.0156,110,7757.97,73,37,14.07,4654.78,0.6,-0.27690235627469983,-0.16666666666666663,-0.07698070799775236,8787.077142857142,0.023614285714285716
2023-03-22,5285,0.0263,74.07,1051.9,0.0299,139,10295.12,97,42,10.84,6177.07,0.6,0.3270378720206446,0.26363636363636367,0.07244318181818188,9001.334285714285,0.024285714285714282
2023-03-23,5405,0.0257,72.8,982.11,0.0389,139,10119.39,98,41,10.02,6071.63,0.6,-0.017069252228240295,0.0,0.022705771050141932,9219.297142857144,0.0244
2023-03-24,5633,0.0231,82.23,1062.67,0.0383,130,10690.54,95,35,11.19,6414.32,0.6,0.05644114912064868,-0.06474820143884896,0.04218316373728026,9266.941428571428,0.02401428571428571
2023-03-25,4438,0.024,75.98,1018.98,0.0277,106,8054.17,73,33,13.96,4832.5,0.6,-0.24660774853281509,-0.18461538461538463,-0.21214273033907327,9199.767142857143,0.023885714285714288
2023-03-26,4384,0.0229,80.16,1014.05,0.027,100,8015.92,70,30,14.49,4809.55,0.6,-0.004749092706014424,-0.05660377358490565,-0.012167643082469537,9380.272857142858,0.024171428571428573
2023-03-27,5249,0.0249,67.57,1079.05,0.0323,130,8784.39,89,41,12.12,5270.63,0.6,0.09586797273425884,0.30000000000000004,0.197308394160584,9102.5,0.024185714285714283
2023-03-28,5537,0.0269,76.34,1140.48,0.025,149,11373.95,106,43,10.76,6824.37,0.6,0.2947911010326274,0.14615384615384608,0.0548675938273957,9619.06857142857,0.024828571428571426
2023-03-29,5424,0.023,79.45,1117.62,0.0315,124,9851.57,86,38,13.0,5910.94,0.6,-0.13384795959187445,-0.16778523489932884,-0.020408163265306145,9555.704285714286,0.024357142857142855
2023-03-30,5256,0.026,75.41,994.0,0.0338,136,10255.95,92,44,10.8,6153.57,0.6,0.04104726454768137,0.09677419354838701,-0.030973451327433676,9575.212857142858,0.0244
2023-03-31,5469,0.0239,80.33,1023.87,0.0361,130,10442.56,90,40,11.38,6265.54,0.6,0.01819529151370647,-0.044117647058823484,0.040525114155251174,9539.787142857142,0.02451428571428571
2023-04-01,4590,0.0234,72.41,1121.21,0.0295,107,7748.25,75,32,14.95,4648.95,0.6,-0.2580124030888977,-0.17692307692307696,-0.16072408118486015,9496.084285714285,0.024428571428571428
2023-04-02,4768,0.0248,82.05,1025.88,0.029,118,9681.51,83,35,12.36,5808.91,0.6,0.2495092440228439,0.10280373831775691,0.03877995642701526,9734.025714285714,0.0247
2023-04-03,5238,0.0229,86.49,1064.59,0.0256,120,10379.34,86,34,12.38,6227.6,0.6,0.07207863236210055,0.016949152542372836,0.0985738255033557,9961.875714285716,0.024414285714285715
2023-04-04,5317,0.0239,73.19,1104.15,0.0259,127,9294.6,85,42,12.99,5576.76,0.6,-0.10450953528837092,0.05833333333333335,0.015082092401680125,9664.825714285715,0.023985714285714284
2023-04-05,5308,0.0226,72.77,1029.06,0.0289,120,8732.7,81,39,12.7,5239.62,0.6,-0.06045445742689304,-0.055118110236220486,-0.001692683844273124,9504.987142857144,0.02392857142857143
2023-04-06,5098,0.0289,82.27,1083.57,0.0318,147,12093.24,104,43,10.42,7255.94,0.6,0.3848225634683431,0.2250000000000001,-0.03956292388847027,9767.457142857142,0.024342857142857145
2023-04-07,5454,0.0251,82.9,1012.42,0.0346,136,11274.11,93,43,10.89,6764.47,0.6,-0.06773453598870105,-0.07482993197278909,0.0698313063946645,9886.25,0.024514285714285714
2023-04-08,4651,0.0236,72.39,1049.88,0.026,109,7890.04,76,33,13.81,4734.02,0.6,-0.3001629396910267,-0.19852941176470584,-0.1472313898056472,9906.505714285715,0.024542857142857144
2023-04-09,4604,0.0254,72.9,1096.76,0.0375,117,8529.19,76,41,14.43,5117.51,0.6,0.08100719387987909,0.07339449541284404,-0.010105353687379082,9741.888571428572,0.024628571428571427
2023-04-10,5361,0.0248,73.59,1001.94,0.0286,132,9714.02,99,33,10.12,5828.41,0.6,0.13891471523087184,0.1282051282051282,0.16442224152910523,9646.842857142858,0.024900000000000002
2023-04-11,5129,0.0246,68.28,1104.44,0.0299,125,8534.72,86,39,12.84,5120.83,0.6,-0.12140185010942961,-0.05303030303030298,-0.04327550830069016,9538.288571428571,0.025
2023-04-12,5332,0.0262,70.41,1082.26,0.0263,139,9786.54,100,39,10.82,5871.92,0.6,0.14667382175396515,0.1120000000000001,0.03957886527588217,9688.837142857143,0.025514285714285715
2023-04-13,5351,0.0265,69.98,1111.69,0.0179,141,9867.08,97,44,11.46,5920.25,0.6,0.008229670547506895,0.014388489208633004,0.003563390847711956,9370.814285714285,0.02517142857142857
2023-04-14,5263,0.0239,71.16,1096.09,0.0344,126,8966.29,89,37,12.32,5379.77,0.6,-0.09129245936994523,-0.1063829787234043,-0.016445524201083916,9041.125714285714,0.025
2023-04-15,4596,0.0238,74.83,1153.92,0.0337,109,8156.1,79,30,14.61,4893.66,0.6,-0.09035955785503258,-0.13492063492063489,-0.12673380201406037,9079.134285714286,0.025028571428571428
2023-04-16,4713,0.0244,76.17,1092.8,0.0286,115,8759.67,83,32,13.17,5255.8,0.6,0.07400228050171043,0.05504587155963292,0.025456919060052208,9112.06,0.024885714285714285
2023-04-17,5814,0.0204,82.75,1065.89,0.0303,118,9764.8,82,36,13.0,5858.88,0.6,0.11474519017268903,0.026086956521739202,0.23360916613621896,9119.314285714285,0.02425714285714286
2023-04-18,5475,0.022,70.01,1094.3,0.0326,120,8400.99,83,37,13.18,5040.59,0.6,-0.1396659429788628,0.016949152542372836,-0.058307533539731726,9100.210000000001,0.023885714285714284
2023-04-19,5496,0.0277,79.92,1116.18,0.0222,152,12148.09,109,43,10.24,7288.85,0.6,0.4460307654216944,0.2666666666666666,0.003835616438356171,9437.574285714287,0.0241
2023-04-20,5434,0.0283,73.93,1092.28,0.0274,153,11311.3,114,39,9.58,6786.78,0.6,-0.06888243337018418,0.006578947368421018,-0.011280931586608478,9643.891428571429,0.024357142857142855
2023-04-21,5069,0.0245,74.75,1092.69,0.034,124,9269.33,87,37,12.56,5561.6,0.6,-0.1805247849495637,-0.1895424836601307,-0.06716967243283034,9687.182857142858,0.024442857142857145
2023-04-22,4652,0.0262,78.37,1056.38,0.0237,121,9483.27,89,32,11.87,5689.96,0.6,0.023080416815454807,-0.024193548387096753,-0.08226474649832316,9876.778571428571,0.02478571428571429
2023-04-23,4673,0.0256,69.39,1059.16,0.0315,119,8256.98,82,37,12.92,4954.19,0.6,-0.1293108811622996,-0.016528925619834656,0.004514187446259754,9804.965714285716,0.024957142857142855
2023-04-24,5958,0.0312,76.91,1023.0,0.0232,185,14228.73,133,52,7.69,8537.24,0.6,0.7232365828668594,0.5546218487394958,0.2749839503530922,10442.67,0.0265
2023-04-25,5431,0.0272,75.83,1181.43,0.0323,147,11147.34,106,41,11.15,6688.41,0.6,-0.2165611407342749,-0.20540540540540542,-0.08845250083920775,10835.005714285715,0.027242857142857145
2023-04-26,5534,0.0247,77.46,1032.59,0.0298,136,10534.87,94,42,10.98,6320.92,0.6,-0.05494315235742331,-0.07482993197278909,0.018965199779046316,10604.545714285714,0.026814285714285714
2023-04-27,5471,0.0231,76.45,1060.96,0.0219,126,9632.18,86,40,12.34,5779.31,0.6,-0.08568591733927433,-0.07352941176470584,-0.011384170581857589,10364.671428571428,0.026071428571428572
2023-04-28,5248,0.0218,87.28,1060.51,0.0358,114,9949.52,82,32,12.93,5969.71,0.6,0.032945812889709325,-0.09523809523809523,-0.04076037287515999,10461.841428571428,0.025685714285714284
2023-04-29,4914,0.0254,71.81,1142.0,0.0263,124,8904.6,85,39,13.44,5342.76,0.6,-0.10502215182239949,0.08771929824561409,-0.06364329268292679,10379.174285714285,0.02557142857142857
2023-04-30,4840,0.0235,72.35,1083.33,0.0259,113,8174.99,77,36,14.07,4904.99,0.6,-0.08193630258518081,-0.08870967741935487,-0.01505901505901508,10367.461428571429,0.025271428571428573
2023-05-01,5652,0.0222,71.88,1161.29,0.031,125,8985.54,85,40,13.66,5391.32,0.6,0.09914996837916634,0.10619469026548667,0.16776859504132235,9618.434285714287,0.023985714285714284
2023-05-02,5316,0.0237,72.22,1066.05,0.0357,126,9100.05,86,40,12.4,5460.03,0.6,0.01274380838547251,0.008000000000000007,-0.05944798301486198,9325.964285714286,0.023485714285714283
2023-05-03,5783,0.0228,71.81,1114.5,0.0249,132,9479.32,94,38,11.86,5687.59,0.6,0.04167779297915941,0.04761904761904767,0.08784800601956366,9175.171428571428,0.023214285714285715
2023-05-04,5226,0.0284,80.95,1059.61,0.0303,148,11979.87,105,43,10.09,7187.92,0.6,0.2637900186933242,0.1212121212121211,-0.09631679059311771,9510.555714285714,0.02397142857142857
2023-05-05,5628,0.0268,82.1,1209.46,0.0321,150,12315.38,107,43,11.3,7389.23,0.6,0.028006146978222457,0.013513513513513598,0.07692307692307687,9848.535714285714,0.024685714285714287
2023-05-06,5153,0.025,72.15,1043.64,0.0335,128,9234.72,90,38,11.6,5540.83,0.6,-0.250147376694832,-0.1466666666666666,-0.0843994314143568,9895.695714285714,0.024628571428571427
2023-05-07,4521,0.028,70.84,1119.34,0.0309,126,8925.62,86,40,13.02,5355.37,0.6,-0.03347150752811112,-0.015625,-0.1226470017465554,10002.92857142857,0.025271428571428573
2023-05-08,5410,0.0252,77.36,1136.36,0.0282,136,10520.56,97,39,11.72,6312.34,0.6,0.17869234854273408,0.0793650793650793,0.19663791196637903,10222.217142857142,0.0257
2023-05-09,5547,0.0233,72.24,1126.18,0.0259,129,9318.82,93,36,12.11,5591.29,0.6,-0.11422775973902533,-0.05147058823529416,0.025323475046210797,10253.470000000001,0.025642857142857144
2023-05-10,5430,0.028,78.16,1097.05,0.0304,152,11881.03,108,44,10.16,7128.62,0.6,0.2749500473235882,0.17829457364341095,-0.02109248242293127,10596.57142857143,0.026385714285714287
2023-05-11,5225,0.0261,76.01,1100.65,0.0246,136,10337.99,96,40,11.47,6202.79,0.6,-0.12987426174330008,-0.10526315789473684,-0.03775322283609572,10362.017142857143,0.02605714285714286
2023-05-12,5553,0.0229,67.42,1110.16,0.0154,127,8562.5,86,41,12.91,5137.5,0.6,-0.17174421720276378,-0.06617647058823528,0.06277511961722482,9825.891428571429,0.0255
2023-05-13,4531,0.0246,82.74,1101.44,0.0322,111,9183.87,78,33,14.12,5510.32,0.6,0.07256875912408778,-0.12598425196850394,-0.18404466054385016,9818.627142857144,0.025442857142857146
2023-05-14,4842,0.0232,83.98,1157.81,0.0345,112,9405.69,76,36,15.23,5643.41,0.6,0.02415321645450108,0.009009009009008917,0.06863826969763842,9887.20857142857,0.02475714285714286
2023-05-15,5368,0.0222,71.94,1220.97,0.0182,119,8560.39,83,36,14.71,5136.23,0.6,-0.08987113119824286,0.0625,0.10863279636513834,9607.184285714287,0.02432857142857143
2023-05-16,5866,0.0269,73.06,1083.39,0.025,157,11470.65,104,53,10.42,6882.39,0.6,0.33996815565645955,0.31932773109243695,0.09277198211624449,9914.58857142857,0.024842857142857142
2023-05-17,5403,0.0288,76.43,1043.6,0.0331,155,11846.55,103,52,10.13,7107.93,0.6,0.03277059277373118,-0.01273885350318471,-0.07892942379815893,9909.662857142857,0.024957142857142855
2023-05-18,5500,0.0222,76.67,1108.5,0.0403,122,9354.02,84,38,13.2,5612.41,0.6,-0.21040134047465286,-0.2129032258064516,0.017952989080140647,9769.095714285713,0.0244
2023-05-19,5731,0.0261,78.29,1242.72,0.0301,149,11665.62,102,47,12.18,6999.37,0.6,0.24712369654971877,0.22131147540983598,0.04200000000000004,10212.39857142857,0.02485714285714286
2023-05-20,4526,0.0237,85.05,1074.38,0.0264,107,9100.46,75,32,14.33,5460.28,0.6,-0.2198905844695782,-0.2818791946308725,-0.21025998953062297,10200.482857142857,0.02472857142857143
2023-05-21,4822,0.024,74.12,1197.34,0.0291,115,8523.26,80,35,14.97,5113.95,0.6,-0.06342536531120391,0.07476635514018692,0.06539991162174097,10074.421428571428,0.024842857142857142
2023-05-22,5842,0.0238,71.01,1200.09,0.0369,139,9870.18,97,42,12.37,5922.11,0.6,0.15802873548384078,0.20869565217391295,0.21153048527581908,10261.534285714286,0.02507142857142857
